order_id,customer_id,product_id,quantity,order_date,product_name,category,price,revenue
1,361,70,3,2023-01-01 00:00:00,Product_70,Home,78.67,236.01
2,286,6,3,2023-01-01 01:00:00,Product_6,Electronics,976.09,2928.27
3,273,84,3,2023-01-01 02:00:00,Product_84,Clothing,878.7,2636.1000000000004
4,369,52,4,2023-01-01 03:00:00,Product_52,Sports,857.92,3431.68
5,62,3,4,2023-01-01 04:00:00,Product_3,Electronics,545.23,2180.92
6,84,81,3,2023-01-01 05:00:00,Product_81,Clothing,126.98,380.94
7,368,63,1,2023-01-01 06:00:00,Product_63,Home,463.67,463.67
8,217,49,3,2023-01-01 07:00:00,Product_49,Clothing,380.87,1142.6100000000001
9,342,76,2,2023-01-01 08:00:00,Product_76,Clothing,325.79,651.58
10,397,47,4,2023-01-01 09:00:00,Product_47,Electronics,638.74,2554.96
11,187,55,4,2023-01-01 10:00:00,Product_55,Electronics,79.86,319.44
12,19,64,3,2023-01-01 11:00:00,Product_64,Home,550.16,1650.48
13,177,65,3,2023-01-01 12:00:00,Product_65,Sports,942.05,2826.1499999999996
14,100,81,1,2023-01-01 13:00:00,Product_81,Clothing,126.98,126.98
15,396,67,1,2023-01-01 14:00:00,Product_67,Clothing,961.58,961.58
16,445,90,2,2023-01-01 15:00:00,Product_90,Electronics,808.77,1617.54
17,233,15,3,2023-01-01 16:00:00,Product_15,Clothing,837.62,2512.86
18,403,100,3,2023-01-01 17:00:00,Product_100,Clothing,757.0,2271.0
19,76,32,3,2023-01-01 18:00:00,Product_32,Sports,760.27,2280.81
20,265,96,4,2023-01-01 19:00:00,Product_96,Sports,931.45,3725.8
21,455,68,2,2023-01-01 20:00:00,Product_68,Sports,906.3,1812.6
22,284,18,1,2023-01-01 21:00:00,Product_18,Clothing,181.56,181.56
23,206,83,4,2023-01-01 22:00:00,Product_83,Sports,632.65,2530.6
24,223,43,4,2023-01-01 23:00:00,Product_43,Home,181.47,725.88
25,384,35,4,2023-01-02 00:00:00,Product_35,Home,55.54,222.16
26,52,78,4,2023-01-02 01:00:00,Product_78,Clothing,33.04,132.16
27,339,58,2,2023-01-02 02:00:00,Product_58,Clothing,589.92,1179.84
28,367,33,3,2023-01-02 03:00:00,Product_33,Electronics,24.25,72.75
29,144,14,1,2023-01-02 04:00:00,Product_14,Clothing,963.02,963.02
30,373,34,1,2023-01-02 05:00:00,Product_34,Electronics,124.91,124.91
31,69,61,4,2023-01-02 06:00:00,Product_61,Sports,394.29,1577.16
32,99,4,4,2023-01-02 07:00:00,Product_4,Sports,641.06,2564.24
33,396,88,2,2023-01-02 08:00:00,Product_88,Home,185.67,371.34
34,25,59,4,2023-01-02 09:00:00,Product_59,Sports,940.83,3763.32
35,436,29,1,2023-01-02 10:00:00,Product_29,Clothing,425.4,425.4
36,379,83,1,2023-01-02 11:00:00,Product_83,Sports,632.65,632.65
37,469,6,3,2023-01-02 12:00:00,Product_6,Electronics,976.09,2928.27
38,484,97,3,2023-01-02 13:00:00,Product_97,Electronics,859.83,2579.4900000000002
39,53,49,1,2023-01-02 14:00:00,Product_49,Clothing,380.87,380.87
40,151,40,1,2023-01-02 15:00:00,Product_40,Clothing,106.86,106.86
41,144,83,2,2023-01-02 16:00:00,Product_83,Sports,632.65,1265.3
42,57,65,2,2023-01-02 17:00:00,Product_65,Sports,942.05,1884.1
43,39,69,1,2023-01-02 18:00:00,Product_69,Home,203.83,203.83
44,109,27,4,2023-01-02 19:00:00,Product_27,Home,558.81,2235.24
45,181,80,3,2023-01-02 20:00:00,Product_80,Clothing,289.04,867.1200000000001
46,42,6,1,2023-01-02 21:00:00,Product_6,Electronics,976.09,976.09
47,186,13,4,2023-01-02 22:00:00,Product_13,Home,35.1,140.4
48,423,64,1,2023-01-02 23:00:00,Product_64,Home,550.16,550.16
49,398,62,3,2023-01-03 00:00:00,Product_62,Home,646.86,1940.58
